ren shen yang rong tang 	人参养荣汤	rsyrt
run chang wan 	润肠丸	rcw
san bi tang 	三痹汤	sbt
san jia fu mai tang 	三甲复脉汤	sjfmt
san ren tang	三仁汤	srt
san zi yang qin tang 	三子养亲汤	szyqt
sang ju yin 	桑菊饮	sjy
sang piao xiao san 	桑螵蛸散	spxs
sang xing tang 	桑杏汤	sxt
sha shen mai men dong tang 	沙参麦冬汤	ssmmdt
shao fu zhu yu tang 	少腹逐瘀汤	sfzyt
shao yao gan cao tang	 芍药甘草汤	sygct
shao yao tang 	芍药汤	syt
she gan ma huang tang 	射干麻黄汤	sgmht
shen fu tang 	参附汤	sft
shen ge san 	参蛤散	sgs
shen ling bai zhu san 	参苓白术散	slbzs
shen qi si wu tang 	参芪四物汤	sqswt
shen qi wan 	肾气丸	sqw
shen tong zhu yu tang 	身痛逐瘀汤	stzyt
sheng hua tang 	生化汤	sht
sheng jiang xie xin tang 	生姜泻心汤	sjxxt
sheng ma ge gen tang 	升麻葛根汤	smggt
sheng mai san 	生脉散	sms
shi hui san 	十灰散	shs
shi pi yin 	实脾散	spy
shi quan da bu tang	十全大补汤	sqdbt
shi wei bai du san 	十味败毒散	swbds
shi wei san 	石韦散	sws
shi xiao san 	失笑散	sxs
shi zao tang 	十枣汤	szt
shu jing huo xue tang 	疏筋活血汤	sjhxt
si jun zi tang 	四君子汤	sjzt
si miao wan 	四妙丸	smw
si miao yong an tang 	四妙勇安汤	smyat
si mo tang 	四磨汤	smt
si ni jia ren shen tang 	四逆加人参汤	snjrst
si ni san 	四逆散	sns
si ni tang 	四逆汤	snt
si shen wan 	四神丸	ssw
si wu ma zi ren wan 	四物麻子仁丸	swmzrw
si wu tang 	四物汤	swt
su he xiang wan 	苏合香丸	shxw
su zi jiang qi tang 	苏子降气汤	szjqt
suan zao ren tang	酸枣仁汤	szrt
suo quan wan 	缩泉丸	sqw
tai shan pan shi san 	泰山盤石散	tspss
tao he cheng qi tang 	桃核承气汤	thcqt
tao hong si wu tang 	桃红四物汤	thswt
tao hua tang 	桃花汤	tht
tian ma gou teng yin 	天麻钩藤饮	tmgty
tian tai wu yao san	天台乌药散	ttwys
tian wang bu xin dan 	天王补心丹	twbxd
tiao wei cheng qi tang 	调胃承气汤	twcqt
ting li da zao xie fei tang 	葶苈大枣泻肺汤	tldzxft
tong mai si ni tang	通脉四逆汤	tmsnt
tong qiao huo xue tang	通窍活血汤	tqhxt
tong ru dan	通乳丹	trd
tong xie yao fang 	痛泻要方	txyf
tong you tang	通幽汤	tot
tu si zi wan	菟丝子丸	tszw
wan dai tang 	完带汤	wdt
wei jing tang	苇茎汤	wjt
wei ling tang 	胃苓汤	wlt
wen dan tang 	温胆汤	wdt
wen jing tang 	温经汤	wjt
wen pi tang	温脾汤	wpt
wen yang bu gan jian	温阳补肝煎	wybgj
wu hu tang	五虎汤	wht
wu ji san 	五积散	wjs
wu ling san 	五苓散	wls
wu mei wan	乌梅丸	wmw
wu pi yin 	五皮饮	wpy
wu tou tang 	乌头汤	wtt
wu wei xiao du yin 	五味消毒饮	wwxdy
wu zhu yu tang	吴茱萸汤	wzyt
xi jiao di huang tang 	犀角地黄汤	xjdht
xian fang huo ming yin 	仙方活命饮	xfhmy
xiang ai xiong gui yin	香艾芎归饮	xaxgy
xiang sha liu jun zi tang	香砂六君子汤	xsljzt
xiang sha ping wei san 	香砂平胃散	xspws
xiao chai hu tang 	小柴胡汤	xcht
xiao cheng qi tang 	小承气汤	xcqt
xiao feng san 	消风散	xfs
xiao huo luo tang 	小活络汤	xhlt
xiao ji yin zi 	小蓟飲子	xjyz
xiao luo wan 	消瘰丸	xlw
xiao jian zhong tang 	小建中汤	xjzt
xiao qing long tang 	小青龙汤	xqlt
xiao yao san 	逍遥散	xys
xie bai san 	泻白散	xbs
xie xin tang 	泻心汤	xxt
xin yi san 	辛夷散	xys
xing su san 	杏苏散	xss
xuan fu dai zhe tang 	旋覆代赭汤	xfdzt
xue fu zhu yu tang 	血府逐瘀汤	xfzyt
yang he tang 	阳和汤	yht
yang xin tang 	养心汤	yxt
yang yin qing fei tang 	养阴清肺汤	yyqft
yi gan san 	抑肝散	ygs
yi gong san 	异功散	ygs
yi guan jian	 一贯煎	ygj
yi yi fu zi bai jiang san	薏苡附子败酱散	yyfzbjs
yi yi ren tang 	薏苡仁汤	yyrt
yin chen hao tang 	茵陈蒿汤	ycht
yin qiao san 	银翘散	yqs
you gui wan 	右归丸	ygw
yu nu jian 	玉女煎	ynj
yu ping feng san 	玉屏风散	ypfs
yu ye tang 	玉液汤	yyt
yue ju wan 	越鞠丸	yjw
zeng ye cheng qi tang 	增液承气汤	zycqt
zeng ye tang 	增液汤	zyt
zhen gan xi feng tang 	镇肝熄风汤	zgxft
zhen ren yang zang tang 	真人养脏汤	zryzt
zhen wu tang 	真武汤	zwt
zhen wu tang – Lu Chongan 	真武汤 - 卢氏化裁	zwt
zhi bai di huang wan	知柏地黄丸	zbdhw
zhi gan cao tang 	炙甘草汤	zgt
zhi shi dao zhi wan 	枳实导滞丸	zsdzw
zhi shi gua lou gui zhi tang 	枳实瓜蒌桂枝汤	zsglgzt
zhi shi xiao pi wan 	枳实消痞丸	zsxpw
zhi shi xie bai gui zhi tang 	枳实薤白桂枝汤	zsxbgzt
zhi sou san 	止嗽散	zss
zhi zhu wan 	枳术丸	zzw
zhi zi bai pi tang 	梔子柏皮湯	zzbpt
zhi zi chi tang 	栀子豉汤	zzct
zhi zi dou chi tang 	栀子豆豉汤	zzdct
zhi zi gan cao chi tang 	栀子甘草豉汤	zzgcct
zhi zi hou po tang 	梔子厚樸湯	zzhpt
zhi zi sheng jiang chi tang 	梔子生薑豉湯	zzsjct
zhu ling tang 	猪苓汤	zlt
zhu sha an shen wan 	朱砂安神丸	zhasw
zhu ye shi gao tang 	竹叶石膏汤	zysgt
zi xue dan 	紫雪丹	zxd
zuo gui wan 	左归丸	zgw
zuo jin wan 	左金丸	zjw
