Activate Meridian 	活络 	hl
Tonify Kidney Essence 	补肾精	bsj
Tonify Kidney Qi 	补肾气	bsq
Tonify Kidney Yang 	补肾阳	bsy
Tonify Liver 	补肝	bg
Tonify Lung Qi 	补肺气	bfq
Tonify Lung Yang 	补肺阳	bfy
Tonify Qi 	补气 	bq
Tonify San Jiao Qi 	补三焦气	bsjq
Tonify Spleen 	补脾	bp
Tonify Spleen Qi 	补脾气	bpq
Tonify Spleen Yang 	补脾阳	bpy
Tonify Stomach Qi 	补胃气	bwq
Tonify Wei Qi 	补卫气	bwq
Tonify Yin 	补阴	by
Tonify Ying QI 	补营气	byq
Tonify Yuan Qi 	补元气	byq
Tonify Zang Organs 	补臟	bz
Tonify Zheng Qi 	补正气	bzq
Transform Dampness 	化濕	hs
Transform Edema 	化水腫	hsz
Transform Phlegm 	化痰	ht
Transform Turbid Phlegm 	化濁痰	hzt
Treat Alcohol Intoxication 	治醉酒	zzj
Treat Epilepsy 	疗羊吊	lyd
Treat Malaria 	治疟	zh
Treat Muteness 	疗啞	ly
Treat Plumpit Qi 	治梅核气	zmhq
Turn Fetus 	胎位不正	twbz
Warm Intestines 	温肠	wc
Warm Kidney 	温肾	ws
Warm Liver 	暖肝	ng
Warm Liver Meridian 	温肝经	wgj
Warm Lower Jiao 	温下焦	wxj
Warm Meridians 	温经	wj
Warm Middle Jiao 	温中焦	wzj
Warm Spleen 	温脾	wp
Warm Stomach 	暖胃	nw
Warm Uterus 	温子宮	wzg
Warm Yang 	温阳	wy
